1	3
0131013769	1
0131453491	2
0131498622	3
0201100886	4
0201157675	2
0201309440	2
0201325713	6
0201325748	1
0201357526	2
0201361205	2
0201361213	2
0201379376	1
0201379619	2
0201398559	3
020140009X	1
0201407094	2
0201422190	1
0201433311	1
0201433362	3
0201483548	1
0201483599	1
0201485559	1
0201489163	1
0201489295	1
0201489805	2
0201517973	1
0201533774	3
0201539217	1
0201548569	1
0201550601	1
0201558025	3
0201596180	2
0201608421	2
0201609215	6
0201612534	2
0201612941	1
0201615762	1
020163208X	1
020163337X	2
0201634457	4
0201634627	2
0201648660	2
0201657643	2
0201657821	3
0201657961	2
0201700468	1
0201700476	1
0201703092	3
0201703599	2
0201704471	1
0201709147	6
0201710145	2
0201713063	1
020171499X	5
0201715848	1
020172684X	1
0201729202	1
0201729938	3
0201734400	1
0201737345	2
0201740958	3
0201741288	2
0201741296	1
0201742039	1
0201750767	2
0201752840	1
0201752948	1
0201756080	2
0201758679	3
0201760436	1
0201770040	3
020177061X	3
0201771683	2
0201773635	3
0201774224	2
0201775786	1
0201776413	1
0201847604	3
0201848406	8
0201853922	2
0201853930	2
0201853949	4
0201876744	1
0201896834	4
0201896842	3
0201896850	4
0201924803	1
0321112296	4
0321112555	3
0321116291	5
0321119045	5
0321129474	3
0321146182	2
0321150406	1
0321180593	5
0321181433	1
0321185560	1
0321193121	2
0321194446	8
0321194985	1
0321197844	4
0321197860	3
0321204662	2
0321205618	1
0321206746	2
0321228383	3
0321237625	1
0321243625	4
0321245458	1
0321263189	2
0321268288	2
0321268458	4
0321287509	2
0321290933	2
0321293533	3
0321294017	3
0321303326	2
0321304292	5
0321305965	3
0321321286	1
0321321359	1
0321321367	6
0321321375	1
0321335708	3
0321349792	3
0321356985	3
0321369572	2
0321382188	5
0321397967	6
0321397975	1
0321399420	3
0321428900	3
032143675X	2
0321447743	2
0321466756	2
0321486811	4
0672321319	1
0672321467	2
0672323435	4
0672323540	2
0672323575	2
0805321667	2
0805325476	3
0805327304	3
1576760189	1
1576760243	2
1576760286	1
1576760820	4
1576761053	2
1576761150	1
1576761355	1
1576761363	2
1576761428	1
